Array Probe	Category Component
A_15_P100609	ENSDARG00000063344
	ENSDARG00000097685
A_15_P115328	ENSDARG00000036008
A_15_P188361	ENSDARG00000036008
A_15_P115946	ENSDARG00000069301
	ENSDARG00000069301
A_15_P120498	ENSDARG00000104901
A_15_P112323	ENSDARG00000031836
A_15_P195241	ENSDARG00000031836
A_15_P190516	ENSDARG00000103391
A_15_P104848	ENSDARG00000030463
	ENSDARG00000030463
	ENSDARG00000103031
A_15_P169401	ENSDARG00000070447
A_15_P268761	ENSDARG00000080018
A_15_P120037	ENSDARG00000036109
A_15_P114564	ENSDARG00000029612
A_15_P172446	ENSDARG00000029612
	ENSDARG00000075759
	ENSDARG00000068484
A_15_P162551	ENSDARG00000068484
	ENSDARG00000057635
	ENSDARG00000032737
A_15_P193335	ENSDARG00000032737
A_15_P203341	ENSDARG00000053517
	ENSDARG00000053517
A_15_P135142	ENSDARG00000111826
A_15_P171736	ENSDARG00000111826
	ENSDARG00000098335
	ENSDARG00000092715
	ENSDARG00000095834
A_15_P110357	ENSDARG00000015793
	ENSDARG00000015793
A_15_P109796	ENSDARG00000044573
A_15_P169911	ENSDARG00000044573
	ENSDARG00000025206
A_15_P183146	ENSDARG00000025206
A_15_P164441	ENSDARG00000042189
	ENSDARG00000076270
A_15_P100163	ENSDARG00000045415
A_15_P194701	ENSDARG00000045415
	ENSDARG00000100099
A_15_P595687	ENSDARG00000087916
	ENSDARG00000087916
A_15_P148601	ENSDARG00000023058
A_15_P130106	ENSDARG00000100738
	ENSDARG00000097888
A_15_P103773	ENSDARG00000067711
	ENSDARG00000091834
	ENSDARG00000068468
A_15_P155631	ENSDARG00000068468
A_15_P173736	ENSDARG00000101806
	ENSDARG00000105445
A_15_P269041	ENSDARG00000078805
	ENSDARG00000058893
	ENSDARG00000088881
	ENSDARG00000095893
A_15_P145826	ENSDARG00000062376
A_15_P209851	ENSDARG00000039490
	ENSDARG00000039490
A_15_P106294	ENSDARG00000020986
A_15_P162566	ENSDARG00000098626
	ENSDARG00000098626
	ENSDARG00000089187
	ENSDARG00000101165
	ENSDARG00000003175
	ENSDARG00000074846
A_15_P116426	ENSDARG00000026759
	ENSDARG00000026759
	ENSDARG00000098213
A_15_P143351	ENSDARG00000033099
	ENSDARG00000096970
	ENSDARG00000024184
A_15_P170361	ENSDARG00000024184
	ENSDARG00000076901
	ENSDARG00000009341
A_15_P184041	ENSDARG00000009341
A_15_P184046	ENSDARG00000009341
A_15_P158196	ENSDARG00000100546
A_15_P201021	ENSDARG00000090804
A_15_P242036	ENSDARG00000090804
A_15_P105100	ENSDARG00000016977
A_15_P100958	ENSDARG00000058538
A_15_P141436	ENSDARG00000058538
A_15_P114842	ENSDARG00000102175
A_15_P179011	ENSDARG00000102175
A_15_P121216	ENSDARG00000018153
A_15_P150236	ENSDARG00000018153
A_15_P146161	ENSDARG00000054533
A_15_P106187	ENSDARG00000054533
A_15_P531712	ENSDARG00000054533
A_15_P599422	ENSDARG00000054533
	ENSDARG00000054533
	ENSDARG00000092243
	ENSDARG00000038154
A_15_P116115	ENSDARG00000038154
	ENSDARG00000036420
A_15_P144181	ENSDARG00000036420
A_15_P221236	ENSDARG00000098726
	ENSDARG00000098677
	ENSDARG00000096511
A_15_P163961	ENSDARG00000037652
	ENSDARG00000037652
A_15_P185986	ENSDARG00000027963
	ENSDARG00000027963
	ENSDARG00000097726
A_15_P135346	ENSDARG00000105456
A_15_P114888	ENSDARG00000095680
A_15_P218091	ENSDARG00000095680
A_15_P342315	ENSDARG00000011821
	ENSDARG00000011821
A_15_P185017	ENSDARG00000095576
A_15_P182616	ENSDARG00000035875
	ENSDARG00000057074
	ENSDARG00000075181
	ENSDARG00000077950
A_15_P174371	ENSDARG00000079355
A_15_P110522	ENSDARG00000044251
A_15_P116541	ENSDARG00000044251
	ENSDARG00000096398
A_15_P109034	ENSDARG00000003144
A_15_P401090	ENSDARG00000003144
	ENSDARG00000016968
A_15_P118056	ENSDARG00000090063
	ENSDARG00000090063
A_15_P116573	ENSDARG00000033789
	ENSDARG00000017522
A_15_P106977	ENSDARG00000077860
A_15_P117714	ENSDARG00000077860
	ENSDARG00000097025
	ENSDARG00000052097
	ENSDARG00000098675
	ENSDARG00000045015
A_15_P155281	ENSDARG00000101490
A_15_P114284	ENSDARG00000008100
A_15_P144296	ENSDARG00000008100
A_15_P203718	ENSDARG00000041340
	ENSDARG00000087757
	ENSDARG00000110990
A_15_P290451	ENSDARG00000092491
A_15_P207961	ENSDARG00000045873
	ENSDARG00000088072
	ENSDARG00000096208
A_15_P203056	ENSDARG00000070874
	ENSDARG00000105588
	ENSDARG00000075339
	ENSDARG00000045641
A_15_P136876	ENSDARG00000045641
	ENSDARG00000103025
A_15_P158576	ENSDARG00000103025
	ENSDARG00000061439
	ENSDARG00000102553
	ENSDARG00000104269
	ENSDARG00000052520
A_15_P188331	ENSDARG00000052520
A_15_P207846	ENSDARG00000018542
A_15_P225021	ENSDARG00000018542
A_15_P598467	ENSDARG00000074253
	ENSDARG00000078768
A_15_P188898	ENSDARG00000100858
A_15_P183401	ENSDARG00000062357
A_15_P176241	ENSDARG00000019135
A_15_P163786	ENSDARG00000068711
A_15_P187296	ENSDARG00000043002
A_15_P103835	ENSDARG00000090854
	ENSDARG00000056683
	ENSDARG00000098676
	ENSDARG00000012446
	ENSDARG00000078567
A_15_P182316	ENSDARG00000021444
	ENSDARG00000029263
A_15_P150441	ENSDARG00000029263
A_15_P104039	ENSDARG00000029263
A_15_P347770	ENSDARG00000029263
A_15_P166871	ENSDARG00000030472
A_15_P184456	ENSDARG00000042515
A_15_P112719	ENSDARG00000042018
	ENSDARG00000042018
A_15_P168886	ENSDARG00000036943
A_15_P181581	ENSDARG00000036943
A_15_P153201	ENSDARG00000015476
A_15_P101603	ENSDARG00000015476
	ENSDARG00000089954
	ENSDARG00000002355
A_15_P258486	ENSDARG00000069537
	ENSDARG00000044457
A_15_P101719	ENSDARG00000087798
	ENSDARG00000101106
A_15_P102625	ENSDARG00000093521
A_15_P156371	ENSDARG00000045443
A_15_P187293	ENSDARG00000058958
	ENSDARG00000058958
A_15_P111335	ENSDARG00000019293
	ENSDARG00000019293
	ENSDARG00000094455
	ENSDARG00000097849
	ENSDARG00000078167
	ENSDARG00000115890
	ENSDARG00000101085
A_15_P112800	ENSDARG00000007250
	ENSDARG00000007250
	ENSDARG00000113690
A_15_P431045	ENSDARG00000011449
A_15_P567042	ENSDARG00000011449
	ENSDARG00000011449
A_15_P209666	ENSDARG00000099200
A_15_P229876	ENSDARG00000040250
	ENSDARG00000044753
A_15_P109334	ENSDARG00000044753
	ENSDARG00000006560
	ENSDARG00000099086
	ENSDARG00000074302
	ENSDARG00000061371
A_15_P147806	ENSDARG00000061371
A_15_P110734	ENSDARG00000063574
A_15_P112344	ENSDARG00000086471
	ENSDARG00000086471
	ENSDARG00000002377
A_15_P162516	ENSDARG00000002377
A_15_P199941	ENSDARG00000002377
A_15_P114968	ENSDARG00000052129
A_15_P185601	ENSDARG00000052129
A_15_P368160	ENSDARG00000098029
	ENSDARG00000097268
A_15_P187816	ENSDARG00000059773
	ENSDARG00000095453
	ENSDARG00000097673
	ENSDARG00000056740
A_15_P166876	ENSDARG00000033446
A_15_P435080	ENSDARG00000033446
A_15_P158966	ENSDARG00000099899
A_15_P120675	ENSDARG00000077253
	ENSDARG00000096836
	ENSDARG00000105063
A_15_P186201	ENSDARG00000100694
A_15_P130076	ENSDARG00000093799
A_15_P476460	ENSDARG00000093799
	ENSDARG00000092995
A_15_P114601	ENSDARG00000052851
A_15_P121027	ENSDARG00000052851
A_15_P428030	ENSDARG00000052851
A_15_P117317	ENSDARG00000009844
	ENSDARG00000018871
